O*NET-SOC Code,Title,Task,Category,Original Task ID,Original Task,Date,Domain Source
35-3031.00,Waiters and Waitresses,"Perform routine tasks, such as refilling syrups, sanitizer bottles, and other essential supplies.",New,,,08/2025,Incumbent
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,"Prepare food, such as sandwiches, for customers.",New,,,08/2021,Incumbent
35-9021.00,Dishwashers,"Clean and sanitize the dining area, including tables.",New,,,08/2025,Incumbent
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Repair irrigation systems.,New,,,08/2021,Incumbent
37-3011.00,Landscaping and Groundskeeping Workers,Move furniture.,New,,,07/2015,Incumbent
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Establish driving routes for pesticide applications.,New,,,07/2015,Incumbent
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Record information about pesticide applications, such as the type used and amount applied.",New,,,07/2015,Incumbent
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Use new technology and equipment, such as drones or GPS systems, to apply pesticides more accurately and efficiently.",New,,,05/2025,AI/SME
39-2011.00,Animal Trainers,Teach owners how to train their dogs.,New,,,07/2014,Incumbent
39-2011.00,Animal Trainers,Teach people with visual impairments to use guide dogs.,New,,,07/2014,Incumbent
39-2021.00,Animal Caretakers,Scuba dive in aquariums to perform exhibit maintenance.,New,,,08/2019,Incumbent
39-2021.00,Animal Caretakers,Train volunteers and facility staff.,New,,,08/2019,Incumbent
39-3012.00,Gambling and Sports Book Writers and Runners,Provide race or game information to patrons.,New,,,07/2014,Incumbent
39-3012.00,Gambling and Sports Book Writers and Runners,Serve drinks to patrons.,New,,,07/2014,Incumbent
39-3021.00,Motion Picture Projectionists,Download digital keys to unlock digital movie files.,New,,,08/2020,Incumbent
39-3021.00,Motion Picture Projectionists,"Ingest digital content, such as films, advertisements, or trailers, into servers or projectors.",New,,,08/2020,Incumbent
39-3092.00,Costume Attendants,Create patterns for costumes based on designer's drawings.,New,,,07/2016,Incumbent
39-3092.00,Costume Attendants,Schedule costume fittings for actors.,New,,,07/2016,Incumbent
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Maintain or repair athletic equipment.,New,,,07/2011,Incumbent
39-5091.00,"Makeup Artists, Theatrical and Performance","Clean and sanitize supplies, such as makeup brushes.",Revision,24008,Clean supplies such as makeup brushes.,08/2025,Occupational Expert
39-5093.00,Shampooers,"Assist hair stylists with chemical services, such as neutralizing perms and applying hair color.",New,,,06/2008,Incumbent
39-5093.00,Shampooers,Launder and fold the towels that are used for drying customers' hair.,New,,,06/2008,Incumbent
39-5093.00,Shampooers,"Refill and stock work stations with supplies, such as shampoos and conditioners.",New,,,06/2008,Incumbent
39-5093.00,Shampooers,Rinse out hair color or permanent solutions from customers' hair.,New,,,06/2008,Incumbent
39-5093.00,Shampooers,Sweep hair from the salon floor.,New,,,06/2008,Incumbent
39-9031.00,Exercise Trainers and Group Fitness Instructors,Adjust workout programs and provide variations to address injuries or muscle soreness.,New,,,08/2025,Occupational Expert
39-9041.00,Residential Advisors,Advise student organizations.,New,,,08/2019,Incumbent
41-4011.07,Solar Sales Representatives and Assessors,Log client information and sales leads into tracking documents or software.,New,,,08/2024,Incumbent
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Contact customers to ensure their satisfaction with products or services.,New,,,08/2018,Occupational Expert
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Train new recruits or other employees.,New,,,08/2018,Occupational Expert
43-4121.00,"Library Assistants, Clerical",Hire library staff such as student assistants.,New,,,08/2018,Incumbent
43-4171.00,Receptionists and Information Clerks,"Enter and update databases of contact information, such as names, addresses, and phone numbers.",New,,,08/2023,Incumbent
43-5041.00,"Meter Readers, Utilities",Dig dirt away from meters to take readings.,New,,,07/2016,Incumbent
43-5041.00,"Meter Readers, Utilities",Install new or replace broken meters.,New,,,07/2016,Incumbent
43-5051.00,Postal Service Clerks,Stock lobby with retail merchandise.,New,,,07/2016,Incumbent
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Keep track of employees' time.,New,,,07/2017,Incumbent
43-9081.00,Proofreaders and Copy Markers,Check the facts of stories using the internet.,New,,,07/2016,Incumbent
43-9081.00,Proofreaders and Copy Markers,"Design page layouts using text, photographs, graphics, and other elements.",New,,,07/2016,Incumbent
43-9111.00,Statistical Assistants,Present results of statistical analyses to stakeholders.,New,,,07/2015,Incumbent
43-9111.00,Statistical Assistants,Write code for statistical applications.,New,,,07/2015,Incumbent
45-2091.00,Agricultural Equipment Operators,"Operate drones to monitor crop health, growth and pest infestations, and apply targeted treatments.",New,,,05/2025,AI/SME
45-3031.00,Fishing and Hunting Workers,Operate and maintain drone technology for aerial surveillance of hunting and fishing areas.,New,,,05/2025,AI/SME
45-4011.00,Forest and Conservation Workers,Create field maps using geographic information systems technology.,New,,,08/2023,Incumbent
45-4022.00,Logging Equipment Operators,Operate remote-controlled logging machines and drones for dangerous or hard-to-reach tasks.,New,,,05/2025,AI/SME
45-4023.00,Log Graders and Scalers,Move logs using heavy equipment such as log loaders.,New,,,07/2017,Incumbent
47-2021.00,Brickmasons and Blockmasons,Use drone technology to inspect and assess the condition of tall structures.,New,,,05/2025,AI/SME
47-2031.00,Carpenters,Use drones for site surveying and to inspect hard-to-reach areas of a structure.,New,,,05/2025,AI/SME
47-2041.00,Carpet Installers,Cut and install vinyl composition tile or vinyl base.,New,,,07/2011,Incumbent
47-2141.00,"Painters, Construction and Maintenance","Clean tools and equipment, such as brushes and rollers.",New,,,07/2014,Incumbent
47-2141.00,"Painters, Construction and Maintenance",Hang wallpaper.,New,,,07/2014,Incumbent
47-2171.00,Reinforcing Iron and Rebar Workers,Unload rebar from trucks.,New,,,07/2015,Incumbent
47-2171.00,Reinforcing Iron and Rebar Workers,"Use forklifts or cranes to move construction material, such as rebar.",New,,,07/2015,Incumbent
47-2221.00,Structural Iron and Steel Workers,"Assemble or inspect hoisting equipment or rigging, such as cables, pulleys, or hooks, to move heavy equipment or materials.",Revision,11554,"Assemble hoisting equipment or rigging, such as cables, pulleys, or hooks, to move heavy equipment or materials.",07/2015,Incumbent
47-2221.00,Structural Iron and Steel Workers,"Lift steel beams, girders, or columns using cranes or forklifts, or by signaling hoisting equipment operators to lift or position structural steel members.",Revision,20795,"Hoist steel beams, girders, or columns into place, using cranes or signaling hoisting equipment operators to lift and position structural steel members.",07/2015,Incumbent
47-3012.00,Helpers--Carpenters,Cut or weld metal.,New,,,07/2013,Incumbent
47-4011.00,Construction and Building Inspectors,Inspect structures to determine cause and origin of damage.,New,,,08/2024,Occupational Expert
47-4011.01,Energy Auditors,Evaluate the energy performance of buildings using modeling software.,New,,,08/2022,Occupational Expert
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,"Pump, clean, and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.",Revision,11610,"Clean and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.",07/2017,Incumbent
47-5013.00,"Service Unit Operators, Oil and Gas","Maintain and perform safety inspections on rigs, equipment, and other tools.",Revision,20451,Maintain and perform safety inspections on equipment and tools.,07/2013,Incumbent
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Operate drones for aerial survey of blast sites and for post-blast damage assessment.,New,,,05/2025,AI/SME
47-5043.00,"Roof Bolters, Mining",Check roof or ribs for hazardous conditions.,New,,,07/2017,Incumbent
47-5043.00,"Roof Bolters, Mining","Clean equipment, such as dust collectors.",New,,,07/2017,Incumbent
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Use drone technology to inspect towers and antennas for damage or maintenance needs.,New,,,05/2025,AI/SME
49-2091.00,Avionics Technicians,"Perform installation, testing, adjustment, and repair of avionics equipment in uncrewed aerial vehicles, such as drones.",New,,,05/2025,AI/SME
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Calibrate instruments, such as transmitters.",New,,,07/2017,Incumbent
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Use drones for inspection of high-voltage lines and other hard-to-reach equipment.,New,,,05/2025,AI/SME
49-3051.00,Motorboat Mechanics and Service Technicians,Explain repair procedures to customers.,New,,,07/2015,Incumbent
49-3051.00,Motorboat Mechanics and Service Technicians,"Repair or replace engine mechanical equipment, such as power tilts, water pumps, bilge pumps, or power take-offs.",Revision,13770,"Repair engine mechanical equipment, such as power tilts, bilge pumps, or power take-offs.",07/2015,Incumbent
49-3052.00,Motorcycle Mechanics,Diagnose electrical problems.,New,,,08/2021,Incumbent
49-3091.00,Bicycle Repairers,Estimate costs of repairing bicycles and write service tickets.,New,,,07/2016,Incumbent
49-3091.00,Bicycle Repairers,Make adjustments to bicycles to improve customer fit and riding position.,New,,,07/2016,Incumbent
49-3092.00,Recreational Vehicle Service Technicians,"Inspect and install lights, such as headlights and taillights.",New,,,08/2025,Incumbent
49-9043.00,"Maintenance Workers, Machinery","Troubleshoot electrical, hydraulic, or mechanical equipment and machines.",New,,,08/2024,Incumbent
49-9044.00,Millwrights,"Inventory and store parts, tools, and equipment.",New,,,08/2024,Occupational Expert
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",Reline furnaces using ramming material.,New,,,06/2007,Incumbent
49-9052.00,Telecommunications Line Installers and Repairers,"Set up service for customers, installing, connecting, testing, or adjusting equipment, such as digital subscriber line modems.",Revision,11850,"Set up service for customers, installing, connecting, testing, or adjusting equipment.",07/2015,Incumbent
49-9061.00,Camera and Photographic Equipment Repairers,"Adjust or repair cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.",Revision,8437,"Adjust cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.",07/2015,Incumbent
49-9061.00,Camera and Photographic Equipment Repairers,Repair and calibrate drone cameras and equipment for aerial photography and videography.,New,,,05/2025,AI/SME
49-9063.00,Musical Instrument Repairers and Tuners,Adjust the neck angle on fretted instruments.,New,,,08/2025,Occupational Expert
49-9071.00,"Maintenance and Repair Workers, General","Use drones for inspecting roofs, gutters, and other hard-to-reach areas of buildings.",New,,,05/2025,AI/SME
49-9094.00,Locksmiths and Safe Repairers,Read blueprints and project specification manuals to recommend appropriate hardware and electronic locking devices.,New,,,08/2025,Occupational Expert
51-2041.00,Structural Metal Fabricators and Fitters,Troubleshoot and repair electrical or mechanical equipment.,New,,,08/2024,Incumbent
51-3021.00,Butchers and Meat Cutters,Clean and sanitize meat cases and cutting equipment.,New,,,07/2016,Incumbent
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Clean meat cutting equipment.,New,,,07/2017,Incumbent
51-4111.00,Tool and Die Makers,Troubleshoot malfunctions in manufacturing equipment.,New,,,08/2021,Incumbent
51-5111.00,Prepress Technicians and Workers,Correct color in photographs or digital images.,New,,,07/2016,Incumbent
51-6051.00,"Sewers, Hand","Patch materials, such as cotton or leather.",New,,,08/2024,Incumbent
51-8031.00,Water and Wastewater Treatment Plant and System Operators,Complete wastewater discharge monitoring reports and maintenance logs.,New,,,08/2025,Occupational Expert
51-8031.00,Water and Wastewater Treatment Plant and System Operators,Maintain and repair portable safety equipment and permanent safety infrastructure to ensure operational readiness and compliance with safety protocols.,New,,,08/2025,Occupational Expert
51-9011.00,Chemical Equipment Operators and Tenders,Load products into tanks for shipment.,New,,,07/2015,Incumbent
51-9071.00,Jewelers and Precious Stone and Metal Workers,"Measure, cut, and file pieces of jewelry, such as rings, brooches, bracelets, and lockets.",Revision,23625,"Cut and file pieces of jewelry such as rings, brooches, bracelets, and lockets.",08/2025,Incumbent
51-9081.00,Dental Laboratory Technicians,Meet with dentists or patients to discuss dental appliances.,New,,,08/2022,Incumbent
51-9081.00,Dental Laboratory Technicians,Order parts or materials needed to make dental appliances.,New,,,08/2022,Incumbent
51-9081.00,Dental Laboratory Technicians,Scan dental models to create digital files.,New,,,08/2022,Incumbent
51-9081.00,Dental Laboratory Technicians,Stain porcelain on dental appliances to match the color of patients' teeth.,New,,,08/2022,Incumbent
51-9082.00,Medical Appliance Technicians,Order parts or supplies for orthotic or prosthetic devices.,New,,,07/2015,Incumbent
51-9083.00,Ophthalmic Laboratory Technicians,Tint lenses according to customer specifications.,New,,,07/2015,Incumbent
51-9151.00,Photographic Process Workers and Processing Machine Operators,Adjust digital images using software.,New,,,07/2017,Incumbent
51-9195.05,"Potters, Manufacturing","Apply glazes to pottery pieces, using tools such as spray guns.",Revision,21211,"Mix and apply glazes to pottery pieces, using tools, such as spray guns.",08/2020,Incumbent
51-9195.05,"Potters, Manufacturing",Decorate pottery using tools such as brushes.,New,,,08/2020,Incumbent
51-9195.05,"Potters, Manufacturing",Load and unload pottery from kilns.,New,,,08/2020,Incumbent
51-9195.05,"Potters, Manufacturing",Mix chemicals according to recipes to create glazes.,Revision,21211,"Mix and apply glazes to pottery pieces, using tools, such as spray guns.",08/2020,Incumbent
53-2012.00,Commercial Pilots,"Operate large scale uncrewed aerial vehicles (UAVs) or drones for various commercial purposes, such as aerial photography, surveying land and structures, or monitoring wildlife.",New,,,05/2025,AI/SME
53-2021.00,Air Traffic Controllers,"Monitor, direct, or sequence the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.",Revision,12729,Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.,07/2014,Incumbent
53-2022.00,Airfield Operations Specialists,Inspect airfield conditions to ensure safety and compliance with federal regulatory requirements.,Revision,23939,Inspect airfield conditions to ensure compliance with federal regulatory requirements.,08/2021,Incumbent
53-2022.00,Airfield Operations Specialists,Issue notices to advise flight crews of airfield status.,New,,,08/2021,Incumbent
53-2022.00,Airfield Operations Specialists,Monitor and manage the operation of drones within the airport airspace to ensure safe aircraft operations.,New,,,05/2025,AI/SME
53-2022.00,Airfield Operations Specialists,Train operations staff on topics such as driving on airfields and security identification display area (SIDA) procedures.,Revision,10618,Train operations staff.,08/2021,Incumbent
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Oversee the use of drones for inspection and maintenance of hard-to-reach parts of the vessel.,New,,,05/2025,AI/SME
53-5031.00,Ship Engineers,"Use drone technology for ship inspections, maintenance, or other tasks.",New,,,05/2025,AI/SME
53-6051.01,Aviation Inspectors,"Inspect uncrewed aircraft systems, such as drones, to ensure compliance with safety and operation regulations.",New,,,05/2025,AI/SME
53-7021.00,Crane and Tower Operators,Inspect crane site conditions to determine ground stability.,New,,,07/2015,Incumbent
53-7031.00,Dredge Operators,"Perform maintenance on dredge equipment, such as changing engine oil.",New,,,06/2008,Incumbent
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Inspect products for damage or leaks.,New,,,08/2024,Incumbent
53-7073.00,Wellhead Pumpers,Conduct regular inspections of equipment using drones or other advanced technology.,New,,,05/2025,AI/SME
