Element ID,Element Name,Scale ID,Scale Name,Category,Category Description
4.C.3.b.8,"Determine Tasks, Priorities and Goals",CXP,Context (Categories 1-5),4,Some freedom
4.C.3.b.8,"Determine Tasks, Priorities and Goals",CXP,Context (Categories 1-5),5,A lot of freedom
4.C.3.c.1,Level of Competition,CXP,Context (Categories 1-5),1,Not at all competitive
4.C.3.c.1,Level of Competition,CXP,Context (Categories 1-5),2,Slightly competitive
4.C.3.c.1,Level of Competition,CXP,Context (Categories 1-5),3,Moderately competitive
4.C.3.c.1,Level of Competition,CXP,Context (Categories 1-5),4,Highly competitive
4.C.3.c.1,Level of Competition,CXP,Context (Categories 1-5),5,Extremely competitive
4.C.3.d.1,Time Pressure,CXP,Context (Categories 1-5),1,Never
4.C.3.d.1,Time Pressure,CXP,Context (Categories 1-5),2,Once a year or more but not every month
4.C.3.d.1,Time Pressure,CXP,Context (Categories 1-5),3,Once a month or more but not every week
4.C.3.d.1,Time Pressure,CXP,Context (Categories 1-5),4,Once a week or more but not every day
4.C.3.d.1,Time Pressure,CXP,Context (Categories 1-5),5,Every day
4.C.3.d.3,Pace Determined by Speed of Equipment,CXP,Context (Categories 1-5),1,Not important at all
4.C.3.d.3,Pace Determined by Speed of Equipment,CXP,Context (Categories 1-5),2,Fairly important
4.C.3.d.3,Pace Determined by Speed of Equipment,CXP,Context (Categories 1-5),3,Important
4.C.3.d.3,Pace Determined by Speed of Equipment,CXP,Context (Categories 1-5),4,Very important
4.C.3.d.3,Pace Determined by Speed of Equipment,CXP,Context (Categories 1-5),5,Extremely important
4.C.3.d.4,Work Schedules,CTP,Context (Categories 1-3),1,"Regular (established routine, set schedule)"
4.C.3.d.4,Work Schedules,CTP,Context (Categories 1-3),2,"Irregular (changes with weather conditions, production demands, or contract duration)"
4.C.3.d.4,Work Schedules,CTP,Context (Categories 1-3),3,Seasonal (only during certain times of the year)
4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),1,Less than 40 hours
4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),2,40 hours
4.C.3.d.8,Duration of Typical Work Week,CTP,Context (Categories 1-3),3,More than 40 hours
